model_name,fold,run,criterion,num_trees,with_title,with_keywords,nb_added_negs,f1,recall,precision,accuracy,roc_auc,AP,MCC,NDCG,kappa,TN,FP,FN,TP
Random Forest,1,1,entropy,300,True,False,500,0.8141025641025641,0.8141025641025641,0.8141025641025641,0.7478260869565218,{},{},0.4222106722106722,{},0.4222106722106722,45.0,29.0,29.0,127.0
Random Forest,2,1,entropy,300,True,False,500,0.8176470588235294,0.8910256410256411,0.7554347826086957,0.7304347826086957,{},{},0.3304077260284109,{},0.3141592920353983,29.0,45.0,17.0,139.0
Random Forest,3,1,entropy,300,True,False,500,0.808641975308642,0.8397435897435898,0.7797619047619048,0.7304347826086957,{},{},0.3576670598587236,{},0.354867897213174,37.0,37.0,25.0,131.0
Random Forest,4,1,entropy,300,True,False,500,0.8291139240506329,0.8397435897435898,0.81875,0.7652173913043478,{},{},0.4546774050566431,{},0.4543057996485061,45.0,29.0,25.0,131.0
Random Forest,5,1,entropy,300,True,False,500,0.7889908256880734,0.832258064516129,0.75,0.7,{},{},0.2795064244434354,{},0.275011420740064,32.0,43.0,26.0,129.0
Random Forest,1,1,log_loss,400,True,False,500,0.8,0.7948717948717948,0.8051948051948052,0.7304347826086957,{},{},0.3867951207033758,{},0.3867194219852056,44.0,30.0,32.0,124.0
Random Forest,2,1,log_loss,400,True,False,500,0.8245614035087719,0.903846153846154,0.7580645161290323,0.7391304347826086,{},{},0.3512388506751053,{},0.3310063990692263,29.0,45.0,15.0,141.0
Random Forest,3,1,log_loss,400,True,False,500,0.7987804878048781,0.8397435897435898,0.7616279069767442,0.7130434782608696,{},{},0.3073224395759109,{},0.3029022777369581,33.0,41.0,25.0,131.0
Random Forest,4,1,log_loss,400,True,False,500,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7739130434782608,{},{},0.481981981981982,{},0.481981981981982,48.0,26.0,26.0,130.0
Random Forest,5,1,log_loss,400,True,False,500,0.7804878048780488,0.8258064516129032,0.7398843930635838,0.6869565217391305,{},{},0.2451728342158805,{},0.2407152682255845,30.0,45.0,27.0,128.0
Random Forest,1,1,gini,400,True,False,500,0.8,0.8076923076923077,0.7924528301886793,0.7260869565217392,{},{},0.3658091753777856,{},0.3656422379826635,41.0,33.0,30.0,126.0
Random Forest,2,1,gini,400,True,False,500,0.8106508875739645,0.8782051282051282,0.7527472527472527,0.7217391304347827,{},{},0.3104857260243175,{},0.2975758732582553,29.0,45.0,19.0,137.0
Random Forest,3,1,gini,400,True,False,500,0.8085106382978723,0.8525641025641025,0.7687861271676301,0.7260869565217392,{},{},0.3376020460658467,{},0.332073384345902,34.0,40.0,23.0,133.0
Random Forest,4,1,gini,400,True,False,500,0.8364779874213837,0.8525641025641025,0.8209876543209876,0.7739130434782608,{},{},0.4715830753770753,{},0.4707027792529651,45.0,29.0,23.0,133.0
Random Forest,5,1,gini,400,True,False,500,0.7757575757575758,0.8258064516129032,0.7314285714285714,0.6782608695652174,{},{},0.2188538270764984,{},0.2138568129330255,28.0,47.0,27.0,128.0
Random Forest,1,1,entropy,400,True,False,500,0.8,0.7948717948717948,0.8051948051948052,0.7304347826086957,{},{},0.3867951207033758,{},0.3867194219852056,44.0,30.0,32.0,124.0
Random Forest,2,1,entropy,400,True,False,500,0.8245614035087719,0.903846153846154,0.7580645161290323,0.7391304347826086,{},{},0.3512388506751053,{},0.3310063990692263,29.0,45.0,15.0,141.0
Random Forest,3,1,entropy,400,True,False,500,0.7987804878048781,0.8397435897435898,0.7616279069767442,0.7130434782608696,{},{},0.3073224395759109,{},0.3029022777369581,33.0,41.0,25.0,131.0
Random Forest,4,1,entropy,400,True,False,500,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7739130434782608,{},{},0.481981981981982,{},0.481981981981982,48.0,26.0,26.0,130.0
Random Forest,5,1,entropy,400,True,False,500,0.7804878048780488,0.8258064516129032,0.7398843930635838,0.6869565217391305,{},{},0.2451728342158805,{},0.2407152682255845,30.0,45.0,27.0,128.0
Random Forest,1,1,log_loss,500,True,False,500,0.8115015974440895,0.8141025641025641,0.8089171974522293,0.7434782608695653,{},{},0.4101743714374863,{},0.410153872902721,44.0,30.0,29.0,127.0
Random Forest,2,1,log_loss,500,True,False,500,0.8176470588235294,0.8910256410256411,0.7554347826086957,0.7304347826086957,{},{},0.3304077260284109,{},0.3141592920353983,29.0,45.0,17.0,139.0
Random Forest,3,1,log_loss,500,True,False,500,0.8,0.8333333333333334,0.7692307692307693,0.717391304347826,{},{},0.3241349245696063,{},0.3211334120425029,35.0,39.0,26.0,130.0
Random Forest,4,1,log_loss,500,True,False,500,0.8434504792332268,0.8461538461538461,0.8407643312101911,0.7869565217391304,{},{},0.5101532877480225,{},0.5101277927497174,49.0,25.0,24.0,132.0
Random Forest,5,1,log_loss,500,True,False,500,0.7757575757575758,0.8258064516129032,0.7314285714285714,0.6782608695652174,{},{},0.2188538270764984,{},0.2138568129330255,28.0,47.0,27.0,128.0
Random Forest,1,1,gini,500,True,False,500,0.7974683544303798,0.8076923076923077,0.7875,0.7217391304347827,{},{},0.3535402646668675,{},0.3532513181019332,40.0,34.0,30.0,126.0
Random Forest,2,1,gini,500,True,False,500,0.8093841642228738,0.8846153846153846,0.745945945945946,0.717391304347826,{},{},0.2937799872375167,{},0.2781265089328826,27.0,47.0,18.0,138.0
Random Forest,3,1,gini,500,True,False,500,0.8132530120481928,0.8653846153846154,0.7670454545454546,0.7304347826086957,{},{},0.3431205267201248,{},0.3351361432301379,33.0,41.0,21.0,135.0
Random Forest,4,1,gini,500,True,False,500,0.8401253918495298,0.8589743589743589,0.8220858895705522,0.7782608695652173,{},{},0.4802203068683288,{},0.4789908501376921,45.0,29.0,22.0,134.0
Random Forest,5,1,gini,500,True,False,500,0.7794561933534743,0.832258064516129,0.7329545454545454,0.6826086956521739,{},{},0.2273778765485101,{},0.2216040797403801,28.0,47.0,26.0,129.0
Random Forest,1,1,entropy,500,True,False,500,0.8115015974440895,0.8141025641025641,0.8089171974522293,0.7434782608695653,{},{},0.4101743714374863,{},0.410153872902721,44.0,30.0,29.0,127.0
Random Forest,2,1,entropy,500,True,False,500,0.8176470588235294,0.8910256410256411,0.7554347826086957,0.7304347826086957,{},{},0.3304077260284109,{},0.3141592920353983,29.0,45.0,17.0,139.0
Random Forest,3,1,entropy,500,True,False,500,0.8,0.8333333333333334,0.7692307692307693,0.717391304347826,{},{},0.3241349245696063,{},0.3211334120425029,35.0,39.0,26.0,130.0
Random Forest,4,1,entropy,500,True,False,500,0.8434504792332268,0.8461538461538461,0.8407643312101911,0.7869565217391304,{},{},0.5101532877480225,{},0.5101277927497174,49.0,25.0,24.0,132.0
Random Forest,5,1,entropy,500,True,False,500,0.7757575757575758,0.8258064516129032,0.7314285714285714,0.6782608695652174,{},{},0.2188538270764984,{},0.2138568129330255,28.0,47.0,27.0,128.0
Random Forest,1,1,log_loss,600,True,False,500,0.805111821086262,0.8076923076923077,0.802547770700637,0.7347826086956522,{},{},0.3901785881753791,{},0.3901590889333217,43.0,31.0,30.0,126.0
Random Forest,2,1,log_loss,600,True,False,500,0.8235294117647058,0.8974358974358975,0.7608695652173914,0.7391304347826086,{},{},0.3536758757487215,{},0.336283185840708,30.0,44.0,16.0,140.0
Random Forest,3,1,log_loss,600,True,False,500,0.8012232415902141,0.8397435897435898,0.7660818713450293,0.717391304347826,{},{},0.3200516814414061,{},0.3160398938603714,34.0,40.0,25.0,131.0
Random Forest,4,1,log_loss,600,True,False,500,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7913043478260869,{},{},0.5218295218295218,{},0.5218295218295219,50.0,24.0,24.0,132.0
Random Forest,5,1,log_loss,600,True,False,500,0.7804878048780488,0.8258064516129032,0.7398843930635838,0.6869565217391305,{},{},0.2451728342158805,{},0.2407152682255845,30.0,45.0,27.0,128.0
Random Forest,1,1,gini,600,True,False,500,0.8,0.8076923076923077,0.7924528301886793,0.7260869565217392,{},{},0.3658091753777856,{},0.3656422379826635,41.0,33.0,30.0,126.0
Random Forest,2,1,gini,600,True,False,500,0.8176470588235294,0.8910256410256411,0.7554347826086957,0.7304347826086957,{},{},0.3304077260284109,{},0.3141592920353983,29.0,45.0,17.0,139.0
Random Forest,3,1,gini,600,True,False,500,0.8192771084337349,0.8717948717948718,0.7727272727272727,0.7391304347826086,{},{},0.3650787129042173,{},0.3565833644162626,34.0,40.0,20.0,136.0
Random Forest,4,1,gini,600,True,False,500,0.8411214953271028,0.8653846153846154,0.8181818181818182,0.7782608695652173,{},{},0.4772189838084705,{},0.4751677852348993,44.0,30.0,21.0,135.0
Random Forest,5,1,gini,600,True,False,500,0.7915407854984894,0.8451612903225807,0.7443181818181818,0.7,{},{},0.2711409824950853,{},0.2642559109874826,30.0,45.0,24.0,131.0
Random Forest,1,1,entropy,600,True,False,500,0.805111821086262,0.8076923076923077,0.802547770700637,0.7347826086956522,{},{},0.3901785881753791,{},0.3901590889333217,43.0,31.0,30.0,126.0
Random Forest,2,1,entropy,600,True,False,500,0.8235294117647058,0.8974358974358975,0.7608695652173914,0.7391304347826086,{},{},0.3536758757487215,{},0.336283185840708,30.0,44.0,16.0,140.0
Random Forest,3,1,entropy,600,True,False,500,0.8012232415902141,0.8397435897435898,0.7660818713450293,0.717391304347826,{},{},0.3200516814414061,{},0.3160398938603714,34.0,40.0,25.0,131.0
Random Forest,4,1,entropy,600,True,False,500,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7913043478260869,{},{},0.5218295218295218,{},0.5218295218295219,50.0,24.0,24.0,132.0
Random Forest,5,1,entropy,600,True,False,500,0.7804878048780488,0.8258064516129032,0.7398843930635838,0.6869565217391305,{},{},0.2451728342158805,{},0.2407152682255845,30.0,45.0,27.0,128.0
Random Forest,1,1,log_loss,700,True,False,500,0.805111821086262,0.8076923076923077,0.802547770700637,0.7347826086956522,{},{},0.3901785881753791,{},0.3901590889333217,43.0,31.0,30.0,126.0
Random Forest,2,1,log_loss,700,True,False,500,0.8269794721407625,0.903846153846154,0.7621621621621621,0.7434782608695653,{},{},0.3641647758465051,{},0.3447609850313857,30.0,44.0,15.0,141.0
Random Forest,3,1,log_loss,700,True,False,500,0.8012232415902141,0.8397435897435898,0.7660818713450293,0.717391304347826,{},{},0.3200516814414061,{},0.3160398938603714,34.0,40.0,25.0,131.0
Random Forest,4,1,log_loss,700,True,False,500,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7913043478260869,{},{},0.5218295218295218,{},0.5218295218295219,50.0,24.0,24.0,132.0
Random Forest,5,1,log_loss,700,True,False,500,0.7654320987654321,0.8,0.7337278106508875,0.6695652173913044,{},{},0.2123822447095859,{},0.210122006326254,30.0,45.0,31.0,124.0
Random Forest,1,1,gini,700,True,False,500,0.7961783439490446,0.8012820512820513,0.7911392405063291,0.7217391304347827,{},{},0.3579502790306904,{},0.3578782062467284,41.0,33.0,31.0,125.0
Random Forest,2,1,gini,700,True,False,500,0.8152492668621701,0.8910256410256411,0.7513513513513513,0.7260869565217392,{},{},0.3172415834405129,{},0.300338000965717,28.0,46.0,17.0,139.0
Random Forest,3,1,gini,700,True,False,500,0.8181818181818182,0.8653846153846154,0.7758620689655172,0.7391304347826086,{},{},0.3682861970250931,{},0.3614658523042754,35.0,39.0,21.0,135.0
Random Forest,4,1,gini,700,True,False,500,0.8411214953271028,0.8653846153846154,0.8181818181818182,0.7782608695652173,{},{},0.4772189838084705,{},0.4751677852348993,44.0,30.0,21.0,135.0
Random Forest,5,1,gini,700,True,False,500,0.7804878048780488,0.8258064516129032,0.7398843930635838,0.6869565217391305,{},{},0.2451728342158805,{},0.2407152682255845,30.0,45.0,27.0,128.0
Random Forest,1,1,entropy,700,True,False,500,0.805111821086262,0.8076923076923077,0.802547770700637,0.7347826086956522,{},{},0.3901785881753791,{},0.3901590889333217,43.0,31.0,30.0,126.0
