,model_name,fold,criterion,num_trees,run,with_title,with_keywords,f1,recall,precision,accuracy,AP,MCC,NDCG,kappa,TN,FP,FN,TP
0,Random Forest,3,entropy,300,1,True,False,0.7439024390243902,0.6288659793814433,0.9104477611940298,0.6818181818181818,{},0.4038847792836964,{},0.3590751445086705,29.0,6.0,36.0,61.0
0,Random Forest,1,log_loss,400,0,True,False,0.7717391304347826,0.7244897959183674,0.8255813953488372,0.6842105263157895,{},0.2725968466179174,{},0.26654411764705876,20.0,15.0,27.0,71.0
0,Random Forest,2,log_loss,400,0,True,False,0.7126436781609196,0.6326530612244898,0.8157894736842105,0.6212121212121212,{},0.19544497471634642,{},0.18235877106045595,20.0,14.0,36.0,62.0
0,Random Forest,3,log_loss,400,0,True,False,0.7368421052631579,0.6494845360824743,0.8513513513513513,0.6590909090909091,{},0.2981209634607726,{},0.2770204479065239,24.0,11.0,34.0,63.0
0,Random Forest,1,log_loss,400,1,True,False,0.78125,0.7653061224489796,0.7978723404255319,0.6842105263157895,{},0.21516976602887739,{},0.21456692913385822,16.0,19.0,23.0,75.0
0,Random Forest,2,log_loss,400,1,True,False,0.7528089887640449,0.6836734693877551,0.8375,0.6666666666666666,{},0.2696711897082909,{},0.2569089048106449,21.0,13.0,31.0,67.0
0,Random Forest,3,log_loss,400,1,True,False,0.7361963190184049,0.6185567010309279,0.9090909090909091,0.6742424242424242,{},0.39473710048308214,{},0.3484848484848485,29.0,6.0,37.0,60.0
0,Random Forest,1,gini,400,0,True,False,0.7936507936507936,0.7653061224489796,0.8241758241758241,0.706766917293233,{},0.2919325937716992,{},0.2895493767976989,19.0,16.0,23.0,75.0
0,Random Forest,2,gini,400,0,True,False,0.7582417582417582,0.7040816326530612,0.8214285714285714,0.6666666666666666,{},0.23899639386806937,{},0.2317460317460317,19.0,15.0,29.0,69.0
0,Random Forest,3,gini,400,0,True,False,0.7558139534883721,0.6701030927835051,0.8666666666666667,0.6818181818181818,{},0.3425488886353898,{},0.3200883002207505,25.0,10.0,32.0,65.0
0,Random Forest,1,gini,400,1,True,False,0.7835051546391752,0.7755102040816326,0.7916666666666666,0.6842105263157895,{},0.20054622962995394,{},0.2004008016032064,15.0,20.0,22.0,76.0
0,Random Forest,2,gini,400,1,True,False,0.7849462365591398,0.7448979591836735,0.8295454545454546,0.696969696969697,{},0.2817476755912645,{},0.27710843373493965,19.0,15.0,25.0,73.0
0,Random Forest,3,gini,400,1,True,False,0.7514450867052023,0.6701030927835051,0.8552631578947368,0.6742424242424242,{},0.31779439655757863,{},0.2985664854176965,24.0,11.0,32.0,65.0
0,Random Forest,1,entropy,400,0,True,False,0.7717391304347826,0.7244897959183674,0.8255813953488372,0.6842105263157895,{},0.2725968466179174,{},0.26654411764705876,20.0,15.0,27.0,71.0
0,Random Forest,2,entropy,400,0,True,False,0.7126436781609196,0.6326530612244898,0.8157894736842105,0.6212121212121212,{},0.19544497471634642,{},0.18235877106045595,20.0,14.0,36.0,62.0
0,Random Forest,3,entropy,400,0,True,False,0.7368421052631579,0.6494845360824743,0.8513513513513513,0.6590909090909091,{},0.2981209634607726,{},0.2770204479065239,24.0,11.0,34.0,63.0
0,Random Forest,1,entropy,400,1,True,False,0.78125,0.7653061224489796,0.7978723404255319,0.6842105263157895,{},0.21516976602887739,{},0.21456692913385822,16.0,19.0,23.0,75.0
0,Random Forest,2,entropy,400,1,True,False,0.7528089887640449,0.6836734693877551,0.8375,0.6666666666666666,{},0.2696711897082909,{},0.2569089048106449,21.0,13.0,31.0,67.0
0,Random Forest,3,entropy,400,1,True,False,0.7361963190184049,0.6185567010309279,0.9090909090909091,0.6742424242424242,{},0.39473710048308214,{},0.3484848484848485,29.0,6.0,37.0,60.0
0,Random Forest,1,log_loss,500,0,True,False,0.7741935483870968,0.7346938775510204,0.8181818181818182,0.6842105263157895,{},0.25831063997517933,{},0.25420560747663545,19.0,16.0,26.0,72.0
0,Random Forest,2,log_loss,500,0,True,False,0.7093023255813954,0.6224489795918368,0.8243243243243243,0.6212121212121212,{},0.21154737171179186,{},0.19512195121951226,21.0,13.0,37.0,61.0
0,Random Forest,3,log_loss,500,0,True,False,0.7294117647058823,0.6391752577319587,0.8493150684931506,0.6515151515151515,{},0.2884484351656736,{},0.2664894902150279,24.0,11.0,35.0,62.0
0,Random Forest,1,log_loss,500,1,True,False,0.78125,0.7653061224489796,0.7978723404255319,0.6842105263157895,{},0.21516976602887739,{},0.21456692913385822,16.0,19.0,23.0,75.0
0,Random Forest,2,log_loss,500,1,True,False,0.7555555555555555,0.6938775510204082,0.8292682926829268,0.6666666666666666,{},0.25432170640494856,{},0.24453694068678467,20.0,14.0,30.0,68.0
0,Random Forest,3,log_loss,500,1,True,False,0.7469879518072289,0.6391752577319587,0.8985507246376812,0.6818181818181818,{},0.3881172397387924,{},0.3497536945812808,28.0,7.0,35.0,62.0
0,Random Forest,1,gini,500,0,True,False,0.7958115183246073,0.7755102040816326,0.8172043010752689,0.706766917293233,{},0.27827093959271526,{},0.27707317073170734,18.0,17.0,22.0,76.0
0,Random Forest,2,gini,500,0,True,False,0.7540983606557377,0.7040816326530612,0.8117647058823529,0.6590909090909091,{},0.2132400171578059,{},0.20757737459978642,18.0,16.0,29.0,69.0
0,Random Forest,3,gini,500,0,True,False,0.7542857142857143,0.6804123711340206,0.8461538461538461,0.6742424242424242,{},0.3030543673565988,{},0.28765060240963847,23.0,12.0,31.0,66.0
